PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
08083		0.206741	-0.017923	10.083025	0.007629	0.015450	-0.003052	-0.408936	0.054199	-0.592285
08084		0.199466	-0.004667	10.131843	0.013161	0.006485	-0.006866	-0.411133	0.049805	-0.591797
08085		0.176528	-0.023446	10.137950	0.019073	0.009346	-0.001526	-0.406250	0.052002	-0.592041
08086		0.175525	-0.027887	10.174572	0.014114	0.010300	-0.005531	-0.406494	0.056396	-0.592529
08087		0.182440	-0.048940	10.125744	-0.002289	0.013161	-0.004578	-0.413574	0.052002	-0.591797
08088		0.217737	-0.012081	10.089126	0.008202	0.012970	0.001526	-0.411377	0.056641	-0.595215
08089		0.206705	-0.011707	10.052508	0.009918	0.016212	-0.001526	-0.409180	0.061035	-0.592773
08090		0.199478	-0.023043	10.119634	0.008202	0.004387	-0.002289	-0.408936	0.058838	-0.592529
08091		0.200826	0.000981	10.144055	0.019073	0.011635	-0.013733	-0.404297	0.058838	-0.583740
08092		0.212083	-0.016304	10.150153	0.001907	0.005913	-0.002480	-0.408691	0.054199	-0.595215
08093		0.206893	0.018578	10.107434	0.005341	0.012398	0.002289	-0.411621	0.058838	-0.586426
08094		0.205374	0.018948	10.095233	0.003052	0.017929	-0.006294	-0.408691	0.049561	-0.594727
08095		0.176607	-0.024102	10.101326	0.006104	0.007820	-0.003815	-0.406494	0.056396	-0.586426
08096		0.187900	-0.005472	10.046395	0.001144	0.008965	-0.001717	-0.408936	0.054199	-0.592285
08097		0.188162	-0.012096	10.070821	0.002289	0.020790	0.004578	-0.411377	0.054443	-0.583252
08098		0.198643	-0.017611	10.125747	0.009918	0.013351	-0.006866	-0.406494	0.061035	-0.595703
08099		0.194532	-0.036081	10.107439	0.010681	0.015450	-0.000763	-0.416260	0.056641	-0.589355
08100		0.174437	-0.011203	10.101335	-0.000954	0.018692	-0.004005	-0.408936	0.049805	-0.585693
08101		0.176337	-0.006253	10.101330	-0.003052	0.013161	-0.005341	-0.416260	0.054443	-0.592041
08102		0.193131	-0.024423	10.089128	0.007248	0.016785	-0.006866	-0.408936	0.054199	-0.592285
08103		0.188199	-0.030253	10.076924	0.005341	0.020027	0.004578	-0.411377	0.058838	-0.592529
08104		0.205239	-0.011181	10.095219	0.010681	0.003624	-0.009918	-0.406250	0.054199	-0.595215
08105		0.182362	0.000776	10.125746	0.015259	0.014687	-0.003815	-0.413574	0.054443	-0.594971
08106		0.192858	-0.016380	10.144061	0.008011	0.018311	0.002098	-0.409180	0.061035	-0.589844
08107		0.182405	-0.005904	10.058607	0.003815	0.013924	-0.008392	-0.408936	0.056641	-0.592285
08108		0.168976	0.012647	10.113534	0.001144	0.009727	-0.000954	-0.411133	0.056641	-0.598389
08109		0.194455	-0.018388	10.107438	-0.001526	0.016975	0.000000	-0.409180	0.058838	-0.589600
08110		0.168371	-0.012065	10.131850	0.006485	0.016022	-0.005341	-0.411377	0.058838	-0.595459
